"Journal Data Filtered By:  Selected Categories: ENGINEERING, BIOMEDICAL Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Biomimetics","N/A","2313-7673","ENGINEERING, BIOMEDICAL - ESCI","531","n/a","n/a","0.61","100"%,
"Computer Methods in Biomechanics and Biomedical Engineering-Imaging and Visualization","2168-1163","2168-1171","ENGINEERING, BIOMEDICAL - ESCI","383","n/a","n/a","0.51","2.48"%,
"AIMS Bioengineering","2375-1495","2375-1495","ENGINEERING, BIOMEDICAL - ESCI","266","n/a","n/a","0.27","100"%,
"Brain-Computer Interfaces","2326-263X","2326-2621","ENGINEERING, BIOMEDICAL - ESCI","277","n/a","n/a","0.6","2.94"%,
"Healthcare Technology Letters","N/A","2053-3713","ENGINEERING, BIOMEDICAL - ESCI","552","n/a","n/a","0.52","100"%,
"Biomedical Engineering Letters","2093-9868","2093-985X","ENGINEERING, BIOMEDICAL - ESCI","798","n/a","n/a","0.62","0"%,
"Advanced Biomedical Engineering","2187-5219","2187-5219","ENGINEERING, BIOMEDICAL - ESCI","95","n/a","n/a","0.19","40.54"%,
"Medical Devices-Evidence and Research","1179-1470","1179-1470","ENGINEERING, BIOMEDICAL - ESCI","982","n/a","n/a","0.38","100"%,
"International Journal of Biomedical Imaging","1687-4188","1687-4196","ENGINEERING, BIOMEDICAL - ESCI","916","n/a","n/a","0.64","100"%,
"Biomaterials and Biomechanics in Bioengineering","2465-9835","2465-9959","ENGINEERING, BIOMEDICAL - ESCI","19","n/a","n/a","0.17","0"%,
"Biomedical Engineering and Computational Biology","1179-5972","1179-5972","ENGINEERING, BIOMEDICAL - ESCI","66","n/a","n/a","0.44","100"%,
"Regenerative Engineering and Translational Medicine","2364-4133","2364-4141","ENGINEERING, BIOMEDICAL - ESCI","345","n/a","n/a","0.48","6.3"%,
"BIOMEDICAL ENGINEERING-APPLICATIONS BASIS COMMUNICATIONS","1016-2372","1793-7132","ENGINEERING, BIOMEDICAL - ESCI","355","n/a","n/a","0.13","0.69"%,
"International Journal of Biomedical Engineering and Technology","1752-6418","1752-6426","ENGINEERING, BIOMEDICAL - ESCI","483","n/a","n/a","0.17","0"%,
"Journal of Biomimetics Biomaterials and Biomedical Engineering","2296-9837","2296-9845","ENGINEERING, BIOMEDICAL - ESCI","135","n/a","n/a","0.17","2.19"%,
"Journal of Rehabilitation and Assistive Technologies Engineering","2055-6683","2055-6683","ENGINEERING, BIOMEDICAL - ESCI","107","n/a","n/a","0.26","95.37"%,
"APL Bioengineering","2473-2877","2473-2877","ENGINEERING, BIOMEDICAL - ESCI","529","n/a","n/a","0.98","100"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
