"Journal Data Filtered By:  Selected Categories: MEDICINE, RESEARCH & EXPERIMENTAL Selected Editions: ESCI Selected JCR Year: 2020 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold
"Vaccine: X","2590-1362","2590-1362","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","91","n/a","n/a","0.61","100"%,
"International Journal of Medical Research & Health Sciences","2319-5886","2319-5886","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","614","n/a","n/a","0.08","3.41"%,
"Medical Science","2321-7359","2321-7367","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","1,226","n/a","n/a","0.14","0"%,
"Tissue Barriers","2168-8370","2168-8370","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","1,294","n/a","n/a","0.94","23.91"%,
"Clinical Teacher","1743-4971","1743-498X","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","1,187","n/a","n/a","0.34","8.81"%,
"Future Science OA","2056-5623","2056-5623","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","1,262","n/a","n/a","0.68","100"%,
"Biomarker Insights","1177-2719","1177-2719","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","914","n/a","n/a","1.15","100"%,
"Biomedical Reports","2049-9434","2049-9442","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","2,801","n/a","n/a","0.55","36.36"%,
"AIMS Medical Science","2375-1576","2375-1576","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","89","n/a","n/a","0.12","100"%,
"Medical Gas Research","2045-9912","2045-9912","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","705","n/a","n/a","0.51","0"%,
"Galen Medical Journal","2588-2767","2322-2379","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","154","n/a","n/a","0.1","59.9"%,
"Yakut Medical Journal","1813-1905","2312-1017","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","75","n/a","n/a","0.02","0"%,
"Clinical Plasma Medicine","2452-0896","2212-8166","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","543","n/a","n/a","1.23","16.67"%,
"KEIO JOURNAL OF MEDICINE","0022-9717","1880-1293","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","517","n/a","n/a","0.31","0"%,
"Precision Medical Sciences","2642-2514","2642-2514","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI",0,"n/a","n/a","n/a","100"%,
"Biologics-Targets & Therapy","1177-5475","1177-5491","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","853","n/a","n/a","0.78","100"%,
"Actualizaciones en Osteologia","1669-8975","1669-8983","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","33","n/a","n/a","0.03","0"%,
"Indonesian Biomedical Journal","2355-9179","2355-9179","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","79","n/a","n/a","0.09","100"%,
"Medical Mycology Case Reports","2211-7539","2211-7539","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","565","n/a","n/a","0.37","100"%,
"World of Medicine and Biology","2079-8334","2079-8334","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","91","n/a","n/a","0.02","0"%,
"Journal of Biomedical Research","1674-8301","1876-4819","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","1,319","n/a","n/a","0.48","94.59"%,
"Regenerative Medicine Research","2050-490X","2050-490X","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","63","n/a","n/a","0.42","100"%,
"Biomedical Research and Therapy","2198-4093","2198-4093","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","275","n/a","n/a","0.16","98.74"%,
"Translational Medicine at UniSa","2239-9747","2239-9747","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","235","n/a","n/a","0.32","0"%,
"JOURNAL OF MEDICAL INVESTIGATION","1343-1420","1349-6867","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","806","n/a","n/a","0.27","0"%,
"Makara Journal of Health Research","2356-3664","2356-3656","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","45","n/a","n/a","0.07","100"%,
"Sovremennye Tehnologii v Medicine","2076-4243","2076-4243","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","227","n/a","n/a","0.09","0"%,
"American Journal of Blood Research","2160-1992","2160-1992","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","272","n/a","n/a","0.67","0"%,
"Cyprus Journal of Medical Sciences","2149-7893","2536-507X","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","30","n/a","n/a","0.04","0"%,
"International Journal of Biomedicine","2158-0510","2158-0529","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","90","n/a","n/a","0.08","100"%,
"JAPANESE JOURNAL OF ARTIFICIAL ORGANS","0300-0818","N/A","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","16","n/a","n/a","0","0"%,
"Malaysian Journal of Medical Sciences","1394-195X","2180-4303","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","1,264","n/a","n/a","0.31","0"%,
"African Journal of Laboratory Medicine","2225-2002","2225-2010","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","321","n/a","n/a","0.29","100"%,
"Medical Science Monitor Basic Research","2325-4416","2325-4394","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","713","n/a","n/a","0.69","0"%,
"Open Access Journal of Clinical Trials","1179-1519","1179-1519","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","66","n/a","n/a","0.17","100"%,
"Fatigue-Biomedicine Health and Behavior","2164-1846","2164-1862","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","226","n/a","n/a","0.34","3.51"%,
"Interactive Journal of Medical Research","1929-073X","1929-073X","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","473","n/a","n/a","0.58","100"%,
"Clinical and Experimental Health Sciences","2459-1459","2459-1459","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","120","n/a","n/a","0.05","0"%,
"Cold Spring Harbor Molecular Case Studies","2373-2873","2373-2873","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","745","n/a","n/a","0.68","97.5"%,
"European Journal of Translational Myology","2037-7452","2037-7460","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","593","n/a","n/a","0.6","100"%,
"Research and Reports in Tropical Medicine","1179-7282","1179-7282","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","215","n/a","n/a","0.42","100"%,
"Contemporary Clinical Trials Communications","N/A","2451-8654","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","968","n/a","n/a","0.46","100"%,
"International Journal of Ayurvedic Medicine","0976-5921","0976-5921","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","67","n/a","n/a","0.04","0"%,
"Journal of International Translational Medicine","2227-6394","2227-6394","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","89","n/a","n/a","0.04","100"%,
"Journal of Research in Medical and Dental Science","2347-2545","2347-2367","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","308","n/a","n/a","0.09","100"%,
"CURRENT THERAPEUTIC RESEARCH-CLINICAL AND EXPERIMENTAL","0011-393X","1879-0313","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","945","n/a","n/a","0.47","100"%,
"International Journal of Molecular and Cellular Medicine","2251-9637","2251-9645","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","463","n/a","n/a","0.37","0"%,
"International Journal of Clinical and Experimental Medicine","1940-5901","1940-5901","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","8,201","n/a","n/a","0.05","0"%,
"Cell Medicine","2155-1790","2155-1790","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","196","n/a","n/a","0.43","100"%,

Copyright (c) 2021 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
